Defect ID,Found Date,Test ID,Area,Title,Severity,Priority,Environment,Steps / Repro,Expected,Actual,Owner,Status,Root Cause,Fix Version,Retest Result,Evidence,Risk Acceptance / Notes
BUG-LR-001,2026-09-08,QA-041 GATE-19,Middleware,Blog public URL hit login wall,P0,P0,production,GET /humanify/blog,200 Blog/Artikel,307 to login,Eng,Closed,isHumanifyPublic missing blog,2026-09-08 deploy,Pass cycle 3,EXECUTION-REPORT.md cycle 3,Fixed
BUG-LR-002,2026-09-08,QA-034 GATE-16,Middleware,/humanify/admin-login stayed on HQ login,P0,P0,production,GET /humanify/admin-login,Redirect to admin.humanify.id/login,Auth wall before GSSP,Eng,Closed,admin-login not allowlisted,2026-09-08 deploy,Pass cycle 3 307 to admin host,EXECUTION-REPORT.md cycle 3,Fixed
BUG-LR-003,2026-09-08,SEO,Sitemap,Blog posts missing from public sitemap,P1,P1,production,GET sitemap,Blog URLs listed,Missing,Eng,Closed,lib/humanify/seo.ts,2026-09-08 deploy,Pass Playwright seo-public,EXECUTION-REPORT.md cycle 3,Fixed
BUG-LR-004,2026-09-08,GATE-11,Device sync,GET device-sync returned 500,P1,P1,production,GET /api/humanify/attendance/device-sync,405 Allow POST,500,Eng,Closed,Auth ran before postOnly,2026-09-08 deploy,Pass 405,EXECUTION-REPORT.md cycle 3,Fixed
BUG-LR-005,2026-09-08,GATE-22,Harness,AIMAN 503 counted as product fail,P2,P2,production,smoke:prod-readiness with AIMAN off,Skip/expected,Failed,QA,Closed,Harness treated AI_DISABLED as fail,harness skip,N/A expected,EXECUTION-REPORT.md,Not a product bug
BUG-LR-006,2026-09-08,GATE-16,Harness,/api/platform 403 on tenant host counted fail,P2,P2,production,Call platform API on humanify.id,403 least privilege,Harness fail,QA,Closed,403 is correct isolation,harness,N/A expected,EXECUTION-REPORT.md,Not a product bug
BUG-LR-007,2026-09-08,GATE-22,Harness,Payroll chrome not EnterprisePageHeader,P2,P2,repo,wave-85 chrome assert,PayrollShell accepted,Fail,QA,Closed,Wrong expected component,harness,N/A,EXECUTION-REPORT.md,Not a product bug
BUG-LR-008,2026-09-08,GATE-10,Harness,AIMAN sidebar label mismatch,P2,P2,production,smoke:assets-lifecycle,AIMAN · Confirm,Expected AI Guide,QA,Closed,Product label Confirm,harness prefix AIMAN ·,Pass cycle 2,EXECUTION-REPORT.md,Not a product bug
BUG-LR-009,2026-09-08,GATE-15,E2E ESS,Pixel 5 home link hit hidden logo,P2,P2,production,ESS mobile after login,Kembali ke beranda,a[href=/] first() hidden,QA,Closed,Logo hidden on mobile,e2e harness,Pass cycle 4,e2e/humanify-employee-login-ui.spec.ts,Fixed harness
OPS-LR-001,2026-09-08,GATE-28 WQ-010,Billing VPS,Midtrans Snap keys missing on VPS,P0,P0,production,Scorecard / env,MIDTRANS_* production keys,Keys absent,Finance+DevOps,Open,Not installed,blocked WQ-010,Blocked,EXECUTION-REPORT.md GATE-28,GO blocker — do not charge from agent
GATE-18-SLO,2026-09-08,GATE-18 WQ-087,Performance,Health p97.5 329ms vs p95 200ms,P1,P0,production,autocannon health c=20 d=15,p95 < 200ms,p97.5 329ms,Eng Lead,Open,TLS/VPS not handler,pending WQ-087,Partial,run-cycle4 GATE18-capacity.log,Draft raise SLO to 400ms or nginx health
